 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
1035	  -0.001	  -0.096	   0.059	  -0.077	   0.045	  -0.025	   0.044	  -0.070	   0.170	   0.181	   0.167	   0.172	   0.044	   0.052	   0.039	   0.043	    5044	    7577	    5499	   10190	   10190	     03:53
1036	  -0.013	  -0.023	  -0.047	   0.060	   0.065	   0.082	   0.045	   0.091	   0.192	   0.171	   0.186	   0.173	   0.048	   0.050	   0.049	   0.040	    6171	    7391	    9073	    5787	    9073	     03:47
1037	   0.094	   0.044	   0.043	   0.067	  -0.039	   0.052	   0.009	   0.013	   0.185	   0.186	   0.185	   0.182	   0.043	   0.044	   0.045	   0.047	    5767	    7335	    8066	    7252	    8066	     03:39
1038	  -0.014	  -0.049	   0.045	   0.093	  -0.053	   0.026	   0.064	   0.079	   0.195	   0.178	   0.195	   0.187	   0.047	   0.050	   0.045	   0.043	    6694	    7882	    7597	    6556	    7882	     05:01
1039	   0.011	  -0.036	   0.047	  -0.105	   0.024	   0.011	  -0.045	   0.003	   0.180	   0.180	   0.172	   0.169	   0.044	   0.044	   0.046	   0.046	    5829	    6932	    5057	   10584	   10584	     04:03
1040	  -0.026	   0.011	  -0.017	   0.053	  -0.123	   0.088	  -0.020	   0.050	   0.159	   0.171	   0.167	   0.174	   0.041	   0.043	   0.043	   0.036	    8594	    6453	    8263	    5707	    8594	     03:45
1041	   0.026	  -0.075	  -0.060	  -0.058	  -0.028	   0.074	  -0.008	   0.057	   0.199	   0.180	   0.177	   0.186	   0.045	   0.042	   0.048	   0.050	    4378	    8580	    8038	    7324	    8580	     03:41
1042	   0.032	  -0.039	   0.015	   0.066	  -0.019	  -0.126	  -0.009	  -0.027	   0.170	   0.184	   0.176	   0.173	   0.040	   0.049	   0.042	   0.047	    5344	    7418	    8770	    6979	    8770	     04:09
1043	   0.057	  -0.041	   0.027	  -0.031	   0.078	  -0.015	  -0.027	   0.008	   0.166	   0.182	   0.177	   0.203	   0.050	   0.036	   0.038	   0.044	    5129	    7697	    7466	    8299	    8299	     03:41
1044	   0.021	  -0.083	  -0.029	  -0.075	   0.054	  -0.036	   0.004	  -0.038	   0.179	   0.148	   0.188	   0.180	   0.054	   0.043	   0.053	   0.049	    3808	    8414	    7128	    8789	    8789	     03:47
1045	  -0.073	  -0.011	  -0.051	   0.000	  -0.004	   0.044	   0.038	   0.005	   0.196	   0.171	   0.174	   0.181	   0.040	   0.043	   0.048	   0.045	    7269	    5907	    8673	    6600	    8673	     03:33
1046	  -0.022	  -0.083	   0.045	   0.018	  -0.003	   0.069	   0.092	   0.054	   0.189	   0.190	   0.154	   0.184	   0.051	   0.044	   0.044	   0.041	    5998	    7754	    7480	    7275	    7754	     03:51
1047	  -0.098	   0.037	   0.025	   0.045	   0.088	  -0.054	   0.014	   0.101	   0.181	   0.204	   0.178	   0.167	   0.046	   0.050	   0.047	   0.048	    9569	    3862	    7465	    7764	    9569	     04:03
1048	  -0.001	   0.023	  -0.044	  -0.019	   0.014	   0.036	  -0.070	  -0.042	   0.181	   0.175	   0.159	   0.176	   0.051	   0.046	   0.055	   0.040	    6598	    5819	    8791	    7093	    8791	     03:49
1049	   0.083	   0.050	  -0.048	  -0.027	   0.069	  -0.052	   0.050	  -0.054	   0.180	   0.176	   0.183	   0.182	   0.044	   0.048	   0.048	   0.048	    4997	    6064	    9129	    8230	    9129	     03:41
