 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.032	-0.056	 0.017	-0.048	 0.003	 0.016	-0.023	 0.040	 0.163	 0.182	 0.153	 0.180	 0.042	 0.049	 0.052	 0.040	  5413	  7607	  7093	  8276	  8276	   03:26
   2	 0.093	-0.030	 0.033	 0.031	 0.052	 0.112	-0.047	 0.003	 0.159	 0.181	 0.184	 0.168	 0.034	 0.046	 0.048	 0.038	  4940	  8635	  7460	  7654	  8635	   03:09
   3	-0.043	-0.017	 0.011	 0.036	-0.066	 0.001	 0.005	 0.017	 0.172	 0.189	 0.165	 0.175	 0.055	 0.048	 0.041	 0.048	  7804	  5801	  7916	  6868	  7916	   03:15
   4	 0.076	-0.022	-0.024	-0.019	-0.021	 0.041	 0.008	 0.031	 0.190	 0.191	 0.201	 0.190	 0.050	 0.049	 0.045	 0.048	  4674	  7968	  7771	  7826	  7968	   02:59
   5	 0.011	 0.046	 0.040	 0.073	 0.009	 0.038	-0.011	-0.015	 0.191	 0.175	 0.183	 0.170	 0.048	 0.047	 0.041	 0.046	  6998	  6273	  7904	  7220	  7904	   03:07
   6	-0.033	 0.037	 0.004	-0.138	 0.054	-0.020	-0.005	 0.030	 0.178	 0.178	 0.192	 0.183	 0.051	 0.041	 0.045	 0.049	  7675	  4553	  5157	 10951	 10951	   03:37
   7	-0.051	 0.064	-0.068	-0.070	 0.008	-0.003	-0.048	-0.058	 0.191	 0.178	 0.183	 0.188	 0.051	 0.043	 0.047	 0.048	  7904	  3922	  8170	  8294	  8294	   03:17
   8	-0.025	 0.089	 0.037	 0.053	 0.011	-0.018	 0.059	-0.063	 0.188	 0.185	 0.190	 0.179	 0.045	 0.039	 0.047	 0.044	  8335	  3997	  8015	  8085	  8335	   03:31
   9	-0.027	 0.045	 0.061	 0.045	 0.006	 0.073	 0.053	-0.033	 0.179	 0.182	 0.180	 0.188	 0.043	 0.044	 0.049	 0.050	  8103	  5380	  7255	  7708	  8103	   03:28
  10	 0.020	-0.001	-0.046	-0.054	-0.076	 0.029	 0.011	-0.097	 0.180	 0.177	 0.177	 0.196	 0.042	 0.051	 0.042	 0.052	  5805	  6493	  8283	  7816	  8283	   03:18
