 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.008	 0.046	 0.013	 0.009	 0.002	 0.016	-0.009	 0.017	 0.091	 0.070	 0.086	 0.086	 0.046	 0.052	 0.043	 0.043	  6910	  6134	  7537	  7720	  7720	   03:20
   2	 0.005	-0.010	 0.003	-0.005	 0.030	 0.012	 0.001	 0.006	 0.090	 0.074	 0.073	 0.081	 0.046	 0.044	 0.045	 0.045	  5902	  6967	  7806	  7652	  7806	   03:38
   3	 0.009	-0.004	 0.002	 0.010	 0.013	 0.027	-0.012	-0.017	 0.100	 0.082	 0.093	 0.087	 0.041	 0.051	 0.050	 0.047	  5960	  7053	  7705	  7519	  7705	   03:38
   4	 0.029	-0.002	 0.008	-0.018	 0.016	-0.029	-0.011	-0.017	 0.097	 0.076	 0.092	 0.078	 0.040	 0.046	 0.044	 0.044	  5373	  7112	  7249	  8704	  8704	   03:28
   5	 0.017	-0.006	 0.026	-0.015	-0.006	-0.003	-0.001	 0.015	 0.085	 0.080	 0.085	 0.102	 0.047	 0.047	 0.044	 0.044	  6188	  6979	  7203	  7980	  7980	   03:24
   6	-0.007	-0.030	 0.017	-0.008	 0.003	-0.004	 0.017	 0.008	 0.070	 0.090	 0.094	 0.088	 0.045	 0.044	 0.048	 0.033	  6873	  6537	  6917	  8198	  8198	   03:38
   7	 0.032	-0.038	-0.017	 0.017	 0.009	-0.006	 0.002	-0.021	 0.095	 0.082	 0.081	 0.081	 0.046	 0.050	 0.044	 0.042	  4758	  7874	  8603	  7040	  8603	   03:34
   8	 0.014	-0.002	 0.019	-0.027	-0.022	 0.007	 0.019	 0.005	 0.076	 0.063	 0.075	 0.080	 0.041	 0.047	 0.040	 0.050	  6161	  6950	  6878	  8355	  8355	   03:36
   9	 0.015	-0.010	-0.024	 0.002	-0.019	 0.006	 0.002	-0.003	 0.075	 0.060	 0.070	 0.083	 0.046	 0.043	 0.048	 0.035	  5748	  7233	  8563	  6859	  8563	   03:26
  10	 0.010	 0.022	 0.012	-0.010	 0.028	-0.024	-0.023	-0.001	 0.076	 0.094	 0.069	 0.072	 0.041	 0.053	 0.048	 0.037	  6988	  5455	  7610	  8369	  8369	   03:38
  11	-0.015	 0.011	 0.001	-0.004	 0.011	 0.011	 0.017	-0.029	 0.073	 0.080	 0.075	 0.086	 0.035	 0.043	 0.041	 0.041	  7201	  5697	  7913	  7687	  7913	   03:50
  12	-0.007	-0.016	-0.011	-0.016	-0.032	-0.032	 0.006	-0.016	 0.064	 0.075	 0.069	 0.073	 0.056	 0.042	 0.039	 0.049	  6595	  6143	  7772	  7779	  7779	   03:32
  13	-0.017	 0.004	 0.008	-0.016	-0.003	-0.002	 0.005	 0.007	 0.094	 0.077	 0.077	 0.080	 0.044	 0.049	 0.046	 0.045	  6634	  6272	  7293	  8095	  8095	   03:26
  14	 0.023	 0.009	 0.012	-0.017	-0.014	 0.023	-0.013	 0.011	 0.076	 0.087	 0.082	 0.085	 0.041	 0.048	 0.048	 0.055	  6642	  6386	  7112	  8066	  8066	   03:26
  15	 0.002	-0.005	-0.012	 0.019	-0.032	 0.003	 0.016	-0.012	 0.057	 0.082	 0.086	 0.090	 0.044	 0.048	 0.044	 0.041	  7283	  6183	  8125	  6837	  8125	   03:34
  16	-0.022	-0.004	-0.013	-0.009	-0.009	-0.012	-0.009	 0.030	 0.071	 0.071	 0.082	 0.073	 0.046	 0.044	 0.043	 0.044	  7132	  6168	  7411	  7769	  7769	   03:40
  17	-0.003	-0.007	-0.008	 0.006	-0.013	-0.022	 0.011	 0.006	 0.084	 0.072	 0.085	 0.090	 0.050	 0.054	 0.051	 0.045	  6251	  6694	  7988	  7233	  7988	   03:44
  18	-0.019	-0.011	 0.004	 0.003	 0.041	-0.003	-0.023	-0.034	 0.076	 0.069	 0.091	 0.062	 0.038	 0.044	 0.043	 0.043	  6638	  6349	  7156	  8367	  8367	   04:10
  19	 0.009	 0.009	 0.032	-0.037	-0.013	-0.004	 0.016	-0.014	 0.079	 0.080	 0.067	 0.073	 0.044	 0.043	 0.046	 0.046	  6499	  6041	  6680	  9078	  9078	   04:10
  20	 0.019	 0.003	-0.005	 0.014	-0.011	-0.013	 0.001	 0.026	 0.082	 0.067	 0.089	 0.080	 0.042	 0.048	 0.046	 0.045	  6059	  7090	  7812	  7450	  7812	   04:08
  21	 0.013	 0.011	 0.002	 0.004	-0.036	-0.002	 0.005	 0.033	 0.082	 0.069	 0.075	 0.069	 0.046	 0.044	 0.042	 0.045	  6431	  6751	  7557	  7759	  7759	   03:56
  22	-0.023	 0.006	-0.018	 0.036	 0.013	-0.002	 0.034	 0.002	 0.086	 0.065	 0.090	 0.082	 0.045	 0.048	 0.046	 0.042	  6748	  6414	  8433	  6748	  8433	   04:02
  23	 0.014	-0.034	-0.010	-0.010	 0.005	 0.015	 0.001	 0.000	 0.076	 0.084	 0.071	 0.083	 0.047	 0.044	 0.046	 0.047	  5807	  7120	  8008	  7345	  8008	   04:00
  24	 0.007	 0.004	-0.014	 0.008	-0.019	-0.002	 0.005	 0.019	 0.092	 0.079	 0.088	 0.099	 0.046	 0.050	 0.041	 0.048	  6313	  6803	  8271	  6933	  8271	   03:56
  25	-0.014	-0.015	-0.021	-0.039	 0.002	-0.010	-0.011	-0.014	 0.090	 0.084	 0.078	 0.079	 0.043	 0.046	 0.034	 0.052	  6276	  6312	  7579	  8174	  8174	   03:46
  26	-0.001	-0.012	-0.027	 0.014	-0.005	 0.001	 0.017	 0.004	 0.078	 0.069	 0.069	 0.090	 0.044	 0.046	 0.034	 0.040	  6191	  6928	  8971	  6407	  8971	   03:54
