 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.022	 0.021	 0.020	 0.002	 0.001	 0.020	 0.007	 0.001	 0.090	 0.107	 0.082	 0.077	 0.040	 0.045	 0.049	 0.047	  6792	  5827	  7373	  8342	  8342	   03:03
   2	-0.006	 0.013	 0.003	 0.005	-0.009	-0.017	-0.003	 0.023	 0.068	 0.079	 0.065	 0.074	 0.050	 0.054	 0.051	 0.052	  7167	  5725	  7803	  7432	  7803	   03:05
   3	 0.020	-0.013	 0.003	 0.001	-0.010	 0.012	-0.010	-0.022	 0.077	 0.096	 0.082	 0.083	 0.047	 0.042	 0.048	 0.047	  6306	  6536	  7735	  7697	  7735	   02:59
   4	-0.010	 0.022	-0.002	 0.022	-0.006	-0.008	 0.021	-0.013	 0.075	 0.078	 0.079	 0.072	 0.045	 0.043	 0.045	 0.041	  7196	  5620	  8060	  7550	  8060	   03:07
   5	-0.006	-0.019	-0.008	-0.047	 0.015	-0.002	 0.006	-0.006	 0.076	 0.073	 0.100	 0.081	 0.046	 0.045	 0.040	 0.044	  6315	  6585	  6580	  8872	  8872	   03:07
   6	-0.022	 0.019	-0.025	-0.019	-0.016	 0.008	 0.022	-0.016	 0.071	 0.069	 0.075	 0.076	 0.043	 0.048	 0.046	 0.044	  7226	  5458	  7916	  7704	  7916	   05:29
   7	-0.003	 0.027	 0.009	-0.026	-0.044	 0.009	-0.021	 0.032	 0.068	 0.089	 0.081	 0.084	 0.050	 0.050	 0.049	 0.056	  7862	  5358	  6768	  8155	  8155	   05:18
   8	-0.013	-0.000	-0.022	 0.025	-0.007	 0.003	-0.008	-0.014	 0.074	 0.077	 0.091	 0.090	 0.042	 0.043	 0.048	 0.051	  7032	  6280	  8382	  6633	  8382	   03:05
   9	-0.002	 0.000	 0.016	-0.012	 0.014	 0.011	-0.023	-0.004	 0.095	 0.081	 0.083	 0.082	 0.047	 0.036	 0.042	 0.039	  6390	  6650	  7238	  8278	  8278	   03:09
  10	-0.036	 0.004	-0.013	-0.014	-0.034	 0.015	-0.016	 0.002	 0.073	 0.078	 0.095	 0.078	 0.051	 0.044	 0.043	 0.042	  7804	  5677	  7002	  7910	  7910	   03:14
