 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.034	-0.034	-0.007	 0.004	 0.008	-0.003	 0.027	 0.037	 0.087	 0.086	 0.070	 0.083	 0.038	 0.045	 0.051	 0.049	  5175	  7635	  8356	  7193	  8356	   03:16
   2	 0.004	-0.002	-0.004	-0.010	 0.003	-0.001	 0.005	-0.032	 0.076	 0.080	 0.073	 0.077	 0.041	 0.045	 0.048	 0.043	  6361	  6208	  7861	  7881	  7881	   03:32
   3	 0.002	-0.037	-0.020	-0.004	-0.002	 0.003	-0.010	-0.001	 0.077	 0.086	 0.090	 0.074	 0.047	 0.046	 0.052	 0.043	  6068	  6935	  7631	  7630	  7631	   04:29
   4	 0.010	 0.007	-0.045	-0.043	-0.036	-0.012	-0.011	 0.007	 0.089	 0.075	 0.066	 0.082	 0.046	 0.046	 0.051	 0.051	  5830	  6360	  8443	  7553	  8443	   03:52
   5	-0.000	 0.012	-0.006	-0.010	-0.018	 0.034	-0.012	 0.012	 0.094	 0.092	 0.097	 0.070	 0.045	 0.045	 0.048	 0.038	  6841	  6149	  7022	  8392	  8392	   03:36
   6	-0.027	-0.005	-0.019	-0.001	 0.021	-0.055	 0.011	-0.007	 0.073	 0.075	 0.075	 0.077	 0.050	 0.043	 0.047	 0.045	  6809	  5742	  8265	  7569	  8265	   03:34
   7	 0.001	-0.008	 0.016	-0.019	-0.020	 0.016	 0.013	-0.004	 0.074	 0.065	 0.072	 0.077	 0.041	 0.044	 0.039	 0.042	  6445	  6834	  7059	  8134	  8134	   03:24
   8	 0.017	 0.012	 0.023	 0.022	-0.012	 0.008	 0.012	 0.002	 0.066	 0.084	 0.080	 0.096	 0.045	 0.042	 0.048	 0.039	  7095	  6256	  7853	  7273	  7853	   03:28
   9	 0.006	-0.027	-0.022	 0.033	 0.025	-0.015	 0.011	 0.004	 0.076	 0.085	 0.080	 0.085	 0.039	 0.038	 0.045	 0.048	  6108	  6927	  8906	  6529	  8906	   03:28
  10	-0.014	 0.007	-0.009	-0.009	 0.001	-0.015	 0.003	-0.002	 0.081	 0.095	 0.090	 0.077	 0.046	 0.050	 0.044	 0.037	  7198	  5507	  7488	  8167	  8167	   03:32
  11	-0.007	 0.013	-0.002	 0.017	 0.018	 0.004	-0.009	-0.006	 0.070	 0.071	 0.084	 0.089	 0.045	 0.046	 0.043	 0.039	  7094	  6152	  8069	  7164	  8069	   03:48
  12	-0.004	 0.011	 0.030	-0.004	-0.003	-0.015	 0.013	-0.003	 0.074	 0.089	 0.060	 0.073	 0.047	 0.047	 0.049	 0.040	  7096	  5560	  7413	  8227	  8227	   03:40
  13	-0.014	-0.006	-0.008	 0.003	-0.025	-0.012	 0.010	-0.005	 0.083	 0.085	 0.101	 0.084	 0.039	 0.044	 0.043	 0.044	  6992	  6273	  7427	  7818	  7818	   03:48
  14	-0.041	-0.012	-0.023	 0.005	 0.004	 0.002	-0.003	-0.003	 0.074	 0.086	 0.084	 0.083	 0.042	 0.041	 0.047	 0.051	  7529	  5713	  8015	  7093	  8015	   03:26
  15	-0.018	-0.006	-0.005	 0.029	 0.039	-0.022	 0.010	 0.017	 0.072	 0.095	 0.081	 0.070	 0.040	 0.046	 0.038	 0.050	  7308	  5709	  8086	  7387	  8086	   03:44
  16	 0.012	-0.019	 0.004	-0.001	-0.000	 0.006	-0.004	-0.016	 0.080	 0.064	 0.071	 0.088	 0.046	 0.040	 0.048	 0.041	  5664	  7399	  8020	  7292	  8020	   03:46
  17	 0.031	 0.013	 0.016	 0.011	 0.026	 0.008	-0.011	 0.023	 0.079	 0.070	 0.073	 0.078	 0.048	 0.043	 0.050	 0.048	  6038	  6897	  7755	  7615	  7755	   04:02
  18	-0.008	-0.008	 0.008	 0.012	-0.012	 0.001	-0.002	-0.021	 0.076	 0.090	 0.066	 0.086	 0.049	 0.034	 0.041	 0.046	  6904	  6149	  8223	  7195	  8223	   04:07
  19	 0.033	-0.012	 0.014	 0.016	-0.019	 0.002	-0.020	-0.001	 0.068	 0.071	 0.080	 0.084	 0.044	 0.045	 0.048	 0.052	  5984	  7360	  7669	  7279	  7669	   04:10
  20	 0.008	 0.004	-0.006	-0.006	-0.002	 0.003	-0.008	-0.000	 0.082	 0.098	 0.086	 0.078	 0.043	 0.047	 0.035	 0.046	  6794	  6031	  7612	  8008	  8008	   04:00
  21	 0.009	 0.034	-0.001	-0.012	-0.025	 0.014	 0.039	 0.036	 0.062	 0.077	 0.076	 0.077	 0.043	 0.055	 0.043	 0.043	  7535	  5497	  7431	  7906	  7906	   03:50
  22	-0.001	 0.016	 0.010	-0.038	 0.012	-0.008	-0.001	-0.002	 0.097	 0.077	 0.076	 0.066	 0.048	 0.049	 0.040	 0.045	  6273	  6111	  6803	  9101	  9101	   04:12
  23	-0.026	-0.025	 0.003	 0.020	-0.008	 0.025	-0.020	-0.001	 0.087	 0.090	 0.097	 0.074	 0.046	 0.046	 0.042	 0.037	  7041	  6657	  7252	  7593	  7593	   04:14
  24	 0.022	-0.016	-0.001	 0.011	-0.016	 0.005	 0.011	-0.005	 0.069	 0.064	 0.078	 0.064	 0.048	 0.047	 0.048	 0.050	  5802	  7205	  7578	  7614	  7614	   03:56
  25	 0.025	 0.015	 0.003	 0.022	-0.033	-0.012	 0.005	-0.007	 0.092	 0.084	 0.099	 0.081	 0.044	 0.042	 0.045	 0.044	  6240	  6672	  7747	  7781	  7781	   04:08
