 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	-0.000	-0.013	-0.000	-0.023	 0.004	-0.003	 0.006	 0.004	 0.084	 0.070	 0.075	 0.098	 0.045	 0.041	 0.045	 0.044	  6047	  6941	  7794	  7598	  7794	   02:56
   2	-0.000	-0.037	 0.001	 0.024	 0.046	-0.013	-0.010	-0.004	 0.088	 0.083	 0.078	 0.088	 0.043	 0.043	 0.042	 0.045	  5811	  7318	  8421	  6940	  8421	   03:38
   3	 0.013	-0.025	-0.018	 0.029	 0.018	-0.017	-0.013	-0.003	 0.085	 0.078	 0.070	 0.107	 0.043	 0.044	 0.049	 0.048	  5642	  7417	  9434	  5854	  9434	   03:40
   4	 0.005	 0.033	-0.009	-0.007	 0.004	 0.005	-0.016	-0.016	 0.071	 0.085	 0.087	 0.101	 0.051	 0.046	 0.044	 0.050	  7306	  5435	  8040	  7423	  8040	   03:42
   5	-0.002	-0.008	 0.015	 0.009	-0.017	 0.004	 0.043	 0.008	 0.073	 0.095	 0.070	 0.074	 0.048	 0.046	 0.047	 0.039	  7017	  5912	  7681	  7768	  7768	   03:28
   6	 0.025	 0.008	-0.019	-0.014	 0.022	-0.010	-0.002	-0.002	 0.080	 0.083	 0.076	 0.064	 0.046	 0.044	 0.048	 0.040	  5950	  6225	  7933	  8233	  8233	   03:34
   7	-0.017	-0.009	-0.017	-0.042	 0.008	 0.002	-0.024	-0.006	 0.087	 0.073	 0.075	 0.082	 0.045	 0.044	 0.048	 0.035	  6361	  6403	  7526	  8120	  8120	   03:24
   8	-0.022	 0.004	 0.025	 0.001	 0.000	 0.011	-0.007	 0.006	 0.086	 0.086	 0.084	 0.067	 0.046	 0.039	 0.042	 0.046	  7290	  5952	  6745	  8484	  8484	   03:38
   9	 0.029	 0.014	 0.013	-0.012	-0.029	-0.014	-0.021	 0.003	 0.083	 0.075	 0.069	 0.078	 0.045	 0.038	 0.045	 0.044	  6050	  6706	  7601	  8110	  8110	   03:42
  10	 0.010	-0.005	-0.044	-0.026	-0.011	 0.003	 0.014	 0.004	 0.077	 0.081	 0.086	 0.067	 0.049	 0.045	 0.050	 0.041	  6112	  6254	  7889	  7999	  7999	   03:40
  11	 0.001	 0.024	-0.002	-0.022	-0.002	 0.026	 0.015	-0.011	 0.058	 0.082	 0.075	 0.071	 0.044	 0.052	 0.043	 0.041	  7489	  5216	  7248	  8340	  8340	   03:36
  12	-0.002	 0.019	 0.011	-0.010	 0.023	-0.013	 0.036	 0.047	 0.079	 0.074	 0.095	 0.079	 0.047	 0.051	 0.034	 0.042	  6989	  6107	  6884	  8532	  8532	   03:38
  13	-0.012	 0.016	 0.023	 0.009	-0.034	 0.004	 0.003	-0.008	 0.074	 0.074	 0.093	 0.067	 0.042	 0.037	 0.052	 0.048	  7476	  5941	  6624	  8404	  8404	   03:52
  14	-0.009	-0.006	-0.007	-0.022	 0.003	 0.003	 0.033	 0.024	 0.080	 0.090	 0.099	 0.083	 0.043	 0.044	 0.044	 0.045	  6957	  6059	  7015	  8358	  8358	   03:28
  15	 0.008	 0.019	-0.002	 0.011	-0.008	-0.001	 0.021	 0.037	 0.104	 0.068	 0.081	 0.068	 0.050	 0.047	 0.038	 0.046	  5979	  6872	  7747	  7785	  7785	   03:42
  16	 0.023	 0.026	 0.028	-0.004	-0.030	 0.006	-0.021	 0.002	 0.084	 0.085	 0.078	 0.081	 0.044	 0.051	 0.046	 0.053	  6712	  6234	  7070	  8168	  8168	   03:46
  17	-0.013	 0.020	-0.026	 0.011	-0.003	 0.014	-0.040	 0.023	 0.073	 0.067	 0.086	 0.088	 0.051	 0.050	 0.049	 0.049	  7269	  6127	  8172	  6688	  8172	   03:48
  18	 0.035	-0.007	-0.002	-0.005	 0.007	 0.037	-0.000	 0.003	 0.068	 0.078	 0.095	 0.074	 0.041	 0.052	 0.041	 0.049	  6119	  7025	  7106	  8039	  8039	   04:20
  19	 0.004	-0.003	-0.006	-0.022	 0.011	-0.001	 0.024	 0.004	 0.084	 0.071	 0.064	 0.066	 0.046	 0.042	 0.046	 0.043	  5911	  6497	  7730	  8188	  8188	   04:06
  20	-0.018	-0.002	-0.000	 0.028	-0.009	-0.006	 0.006	 0.000	 0.077	 0.096	 0.070	 0.091	 0.045	 0.045	 0.044	 0.058	  7365	  5782	  8504	  6588	  8504	   05:07
  21	 0.009	-0.007	-0.028	 0.008	 0.034	 0.007	 0.001	-0.024	 0.074	 0.092	 0.062	 0.079	 0.041	 0.044	 0.049	 0.041	  6300	  6053	  9107	  6902	  9107	   04:06
  22	 0.037	-0.038	-0.007	-0.027	 0.020	 0.016	 0.007	 0.012	 0.079	 0.079	 0.076	 0.082	 0.042	 0.050	 0.043	 0.043	  5090	  7715	  7608	  7905	  7905	   04:12
  23	-0.026	-0.010	-0.038	-0.021	 0.041	 0.009	-0.010	 0.010	 0.089	 0.069	 0.077	 0.078	 0.045	 0.044	 0.041	 0.048	  6383	  6409	  8169	  7360	  8169	   04:04
  24	-0.005	-0.012	 0.013	 0.005	-0.001	-0.007	-0.013	-0.021	 0.075	 0.087	 0.071	 0.053	 0.045	 0.045	 0.048	 0.040	  6645	  6100	  7228	  8352	  8352	   03:46
  25	 0.008	-0.012	-0.024	 0.022	-0.016	 0.004	-0.003	 0.039	 0.079	 0.101	 0.087	 0.093	 0.046	 0.036	 0.056	 0.042	  6796	  6450	  8580	  6671	  8580	   04:07
