 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	-0.023	-0.048	-0.010	-0.013	-0.008	-0.009	 0.006	-0.007	 0.086	 0.077	 0.075	 0.103	 0.037	 0.044	 0.051	 0.042	  6078	  7236	  8151	  6957	  8151	   03:30
   2	 0.020	 0.012	-0.001	-0.010	-0.027	 0.001	-0.003	-0.010	 0.090	 0.071	 0.092	 0.095	 0.045	 0.048	 0.041	 0.048	  6040	  6901	  7620	  7739	  7739	   03:42
   3	 0.002	-0.021	-0.009	-0.009	 0.040	-0.005	-0.015	 0.020	 0.087	 0.076	 0.090	 0.085	 0.049	 0.046	 0.050	 0.044	  5929	  7042	  7649	  7731	  7731	   03:44
   4	 0.013	 0.002	 0.017	-0.012	 0.011	-0.019	 0.001	-0.025	 0.062	 0.072	 0.058	 0.091	 0.040	 0.042	 0.045	 0.049	  6467	  6247	  8019	  7615	  8019	   03:22
   5	 0.003	-0.028	-0.022	-0.016	 0.021	 0.031	-0.007	-0.002	 0.085	 0.077	 0.072	 0.075	 0.043	 0.051	 0.044	 0.048	  5761	  7128	  7942	  7427	  7942	   03:22
   6	-0.005	 0.017	 0.003	-0.015	 0.003	-0.023	-0.009	 0.003	 0.069	 0.079	 0.085	 0.091	 0.039	 0.045	 0.042	 0.044	  7271	  5722	  7495	  8032	  8032	   03:30
   7	 0.010	 0.005	 0.020	-0.029	-0.007	 0.004	 0.017	-0.002	 0.081	 0.066	 0.098	 0.081	 0.042	 0.040	 0.041	 0.043	  6350	  6762	  6382	  8962	  8962	   03:36
   8	 0.030	 0.006	-0.004	-0.028	-0.017	 0.013	 0.001	-0.018	 0.076	 0.085	 0.078	 0.095	 0.045	 0.053	 0.040	 0.033	  6182	  6495	  7802	  7934	  7934	   03:32
   9	-0.018	 0.013	-0.006	-0.002	-0.003	-0.011	 0.020	-0.023	 0.073	 0.069	 0.083	 0.094	 0.046	 0.052	 0.043	 0.047	  7082	  5848	  7943	  7360	  7943	   03:30
  10	 0.014	 0.002	 0.011	 0.002	-0.032	-0.008	-0.026	-0.026	 0.092	 0.071	 0.093	 0.060	 0.040	 0.035	 0.048	 0.047	  5944	  6966	  6928	  8622	  8622	   03:38
  11	-0.008	-0.009	 0.003	 0.013	-0.001	-0.018	-0.032	-0.006	 0.075	 0.075	 0.097	 0.073	 0.048	 0.046	 0.044	 0.045	  6757	  6525	  7248	  7860	  7860	   03:48
  12	 0.021	 0.015	-0.004	-0.006	 0.009	-0.016	 0.001	-0.016	 0.085	 0.079	 0.076	 0.079	 0.042	 0.041	 0.041	 0.040	  6079	  6354	  8090	  7983	  8090	   03:48
  13	 0.008	 0.006	-0.015	 0.005	 0.009	 0.002	-0.005	 0.021	 0.087	 0.074	 0.088	 0.081	 0.046	 0.047	 0.045	 0.043	  6269	  6720	  7934	  7440	  7934	   03:38
  14	 0.016	-0.019	 0.021	 0.001	-0.013	-0.032	-0.033	-0.017	 0.086	 0.083	 0.079	 0.075	 0.050	 0.041	 0.047	 0.043	  5825	  7008	  7362	  8171	  8171	   03:40
  15	-0.031	 0.004	-0.051	 0.018	 0.004	-0.015	 0.016	 0.011	 0.078	 0.070	 0.082	 0.084	 0.048	 0.041	 0.050	 0.043	  6993	  5909	  9058	  6405	  9058	   03:44
  16	 0.004	-0.034	-0.013	 0.001	 0.001	-0.001	 0.027	-0.012	 0.076	 0.071	 0.087	 0.073	 0.040	 0.042	 0.048	 0.043	  5783	  7195	  7717	  7688	  7717	   03:40
