 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.016	 0.005	 0.015	-0.005	 0.026	-0.004	-0.021	-0.001	 0.071	 0.098	 0.091	 0.092	 0.047	 0.051	 0.043	 0.045	  6954	  5939	  7356	  8069	  8069	   03:04
   2	-0.031	 0.004	-0.000	-0.023	-0.001	-0.017	 0.028	 0.018	 0.098	 0.074	 0.074	 0.067	 0.043	 0.047	 0.049	 0.042	  6645	  6015	  7228	  8474	  8474	   03:47
   3	 0.023	-0.005	-0.008	 0.001	 0.034	 0.017	-0.017	-0.021	 0.088	 0.091	 0.084	 0.076	 0.044	 0.043	 0.050	 0.046	  5922	  6614	  7944	  7833	  7944	   03:35
   4	 0.016	 0.010	-0.013	 0.019	-0.010	-0.007	-0.018	 0.019	 0.080	 0.077	 0.086	 0.078	 0.042	 0.048	 0.050	 0.044	  6440	  6615	  8095	  7209	  8095	   03:39
   5	-0.014	 0.018	-0.007	-0.008	-0.037	 0.013	 0.004	 0.012	 0.089	 0.090	 0.071	 0.090	 0.046	 0.040	 0.041	 0.046	  7263	  5736	  8071	  7347	  8071	   03:43
   6	-0.023	-0.000	-0.017	-0.008	-0.021	-0.016	-0.017	-0.026	 0.082	 0.090	 0.071	 0.088	 0.053	 0.045	 0.044	 0.050	  7027	  5631	  8305	  7225	  8305	   03:48
   7	 0.005	-0.009	 0.011	-0.006	-0.026	 0.021	 0.028	 0.005	 0.095	 0.094	 0.075	 0.087	 0.046	 0.042	 0.047	 0.050	  6337	  6561	  7664	  7728	  7728	   03:49
   8	-0.035	-0.010	 0.003	 0.020	 0.015	-0.023	-0.021	 0.009	 0.086	 0.076	 0.069	 0.084	 0.042	 0.049	 0.040	 0.054	  7004	  6345	  8179	  6886	  8179	   03:45
   9	 0.007	-0.037	-0.037	-0.011	 0.011	 0.001	-0.028	 0.013	 0.077	 0.065	 0.080	 0.073	 0.047	 0.055	 0.038	 0.046	  5528	  7599	  8047	  7158	  8047	   03:59
  10	-0.008	 0.005	 0.013	-0.003	-0.035	-0.008	-0.011	 0.004	 0.085	 0.077	 0.083	 0.076	 0.051	 0.040	 0.051	 0.043	  6818	  6297	  7131	  8085	  8085	   04:57
  11	 0.001	-0.022	-0.026	 0.017	 0.006	-0.016	-0.004	 0.042	 0.085	 0.082	 0.097	 0.085	 0.043	 0.041	 0.052	 0.054	  6211	  7053	  8119	  7026	  8119	   03:54
  12	 0.029	 0.017	 0.019	 0.002	-0.023	-0.016	 0.004	 0.003	 0.092	 0.091	 0.090	 0.063	 0.043	 0.053	 0.055	 0.056	  6189	  6303	  6866	  8679	  8679	   04:13
  13	 0.013	 0.032	-0.015	-0.003	 0.015	-0.004	 0.004	 0.012	 0.095	 0.065	 0.071	 0.066	 0.045	 0.041	 0.041	 0.042	  6008	  6403	  8177	  7898	  8177	   04:10
  14	-0.002	-0.017	 0.016	 0.012	-0.019	-0.019	-0.004	-0.005	 0.086	 0.076	 0.074	 0.069	 0.042	 0.042	 0.040	 0.044	  6202	  6936	  7528	  7855	  7855	   04:04
  15	 0.025	-0.006	-0.004	 0.034	 0.024	 0.021	 0.015	-0.008	 0.058	 0.085	 0.071	 0.072	 0.039	 0.051	 0.047	 0.043	  6532	  6417	  8446	  6916	  8446	   04:00
  16	-0.016	 0.002	 0.012	 0.036	-0.034	-0.009	 0.023	-0.011	 0.104	 0.098	 0.065	 0.077	 0.045	 0.056	 0.045	 0.038	  6744	  6061	  8482	  7013	  8482	   04:01
  17	 0.019	-0.000	-0.006	 0.005	 0.019	 0.022	-0.019	 0.018	 0.091	 0.090	 0.085	 0.073	 0.045	 0.043	 0.043	 0.042	  6194	  6746	  7749	  7780	  7780	   04:02
  18	 0.017	 0.002	-0.015	-0.018	 0.011	 0.014	 0.003	 0.001	 0.085	 0.073	 0.073	 0.080	 0.037	 0.046	 0.037	 0.054	  5903	  6802	  7971	  7672	  7971	   03:50
  19	 0.032	 0.009	 0.009	 0.008	 0.008	 0.010	-0.012	-0.020	 0.102	 0.091	 0.064	 0.083	 0.044	 0.037	 0.044	 0.046	  5629	  6834	  8456	  7514	  8456	   04:11
  20	-0.005	-0.030	 0.018	-0.020	-0.010	 0.004	 0.003	 0.003	 0.084	 0.086	 0.100	 0.078	 0.047	 0.048	 0.039	 0.043	  6444	  6892	  6342	  8712	  8712	   04:02
  21	 0.021	-0.014	-0.001	-0.010	-0.024	 0.037	 0.003	 0.016	 0.092	 0.066	 0.093	 0.097	 0.049	 0.039	 0.045	 0.042	  5647	  7822	  7502	  7502	  7822	   04:11
  22	-0.002	-0.024	-0.005	 0.019	 0.009	-0.026	 0.000	-0.017	 0.062	 0.091	 0.088	 0.103	 0.039	 0.048	 0.047	 0.051	  6909	  6328	  8316	  6770	  8316	   03:59
  23	 0.022	-0.012	-0.012	 0.002	-0.011	-0.022	-0.026	-0.002	 0.092	 0.091	 0.085	 0.076	 0.036	 0.054	 0.047	 0.046	  5797	  6919	  7924	  7679	  7924	   04:00
  24	 0.003	-0.009	-0.005	-0.010	 0.030	-0.008	 0.008	-0.012	 0.073	 0.086	 0.091	 0.078	 0.045	 0.035	 0.048	 0.035	  6532	  6161	  7529	  8311	  8311	   03:50
  25	 0.015	 0.029	-0.008	-0.009	 0.000	 0.010	 0.004	-0.008	 0.086	 0.069	 0.074	 0.081	 0.048	 0.046	 0.048	 0.046	  6242	  6248	  8021	  7700	  8021	   04:00
  26	 0.001	 0.015	 0.020	-0.012	-0.019	 0.014	-0.018	 0.002	 0.059	 0.082	 0.085	 0.088	 0.049	 0.037	 0.039	 0.043	  7675	  5781	  6938	  8146	  8146	   04:04
  27	 0.005	-0.006	 0.006	 0.003	-0.005	 0.000	 0.009	 0.001	 0.085	 0.083	 0.081	 0.076	 0.036	 0.042	 0.048	 0.040	  6380	  6621	  7596	  7914	  7914	   04:00
  28	-0.021	-0.003	 0.003	-0.005	-0.015	-0.028	-0.028	-0.033	 0.091	 0.079	 0.083	 0.062	 0.040	 0.045	 0.042	 0.042	  6614	  6133	  7224	  8448	  8448	   03:59
  29	-0.013	-0.003	-0.003	-0.020	 0.009	-0.019	-0.017	-0.013	 0.076	 0.057	 0.074	 0.067	 0.048	 0.045	 0.038	 0.040	  6328	  6510	  7341	  8251	  8251	   03:47
  30	-0.008	 0.002	-0.013	-0.016	 0.019	-0.008	 0.006	-0.011	 0.075	 0.082	 0.067	 0.073	 0.038	 0.051	 0.051	 0.048	  6676	  5762	  7963	  7826	  7963	   03:46
  31	-0.001	 0.036	-0.006	-0.016	-0.004	-0.001	 0.013	 0.015	 0.091	 0.076	 0.076	 0.095	 0.048	 0.043	 0.047	 0.048	  6791	  5801	  8047	  7634	  8047	   04:08
  32	 0.027	 0.019	-0.015	 0.006	-0.017	-0.005	 0.029	 0.011	 0.079	 0.088	 0.074	 0.075	 0.047	 0.042	 0.043	 0.043	  6351	  6071	  8445	  7570	  8445	   04:26
  33	-0.039	 0.028	 0.009	 0.002	-0.045	-0.021	 0.000	 0.009	 0.086	 0.073	 0.090	 0.086	 0.046	 0.044	 0.032	 0.044	  7964	  5567	  7211	  7873	  7964	   04:04
  34	 0.002	 0.024	-0.001	 0.015	-0.006	-0.004	-0.000	-0.003	 0.088	 0.081	 0.090	 0.073	 0.050	 0.045	 0.048	 0.039	  6768	  5975	  7694	  7867	  7867	   03:46
  35	-0.014	-0.001	-0.007	-0.012	-0.017	 0.026	 0.001	-0.025	 0.084	 0.078	 0.080	 0.087	 0.046	 0.058	 0.046	 0.052	  6723	  6285	  7606	  7476	  7606	   03:44
  36	-0.007	 0.012	 0.008	 0.005	 0.004	 0.005	-0.012	 0.026	 0.083	 0.092	 0.092	 0.079	 0.047	 0.048	 0.041	 0.038	  7301	  5917	  7249	  8034	  8034	   03:44
  37	 0.018	 0.017	-0.009	 0.011	-0.020	-0.006	-0.014	 0.023	 0.081	 0.079	 0.084	 0.077	 0.046	 0.046	 0.052	 0.038	  6527	  6417	  7933	  7496	  7933	   04:01
  38	-0.006	 0.019	 0.028	-0.007	-0.003	 0.001	-0.022	-0.010	 0.081	 0.089	 0.087	 0.068	 0.037	 0.045	 0.044	 0.046	  7337	  5661	  6606	  8859	  8859	   04:17
  39	 0.011	 0.007	-0.008	-0.021	-0.003	-0.007	 0.023	-0.024	 0.081	 0.080	 0.080	 0.070	 0.045	 0.039	 0.045	 0.048	  6178	  6081	  7571	  8482	  8482	   04:06
  40	-0.018	-0.043	-0.001	-0.014	-0.025	 0.015	-0.032	-0.007	 0.075	 0.072	 0.085	 0.070	 0.042	 0.044	 0.047	 0.047	  6423	  7228	  6867	  7891	  7891	   03:38
