 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.032	-0.009	 0.030	 0.001	 0.000	 0.005	 0.021	 0.000	 0.097	 0.106	 0.091	 0.088	 0.038	 0.041	 0.043	 0.046	  5996	  6853	  7221	  8405	  8405	   03:14
   2	 0.030	 0.008	 0.002	-0.007	 0.009	-0.003	-0.011	 0.015	 0.086	 0.084	 0.077	 0.070	 0.044	 0.043	 0.043	 0.046	  5983	  6660	  7594	  8196	  8196	   03:01
   3	-0.007	 0.002	-0.013	 0.009	 0.004	 0.021	-0.001	-0.010	 0.083	 0.081	 0.069	 0.063	 0.035	 0.050	 0.045	 0.048	  6620	  6191	  8043	  7456	  8043	   03:01
   4	 0.019	 0.024	-0.021	 0.003	-0.007	 0.016	-0.004	-0.003	 0.084	 0.073	 0.070	 0.078	 0.046	 0.043	 0.044	 0.043	  6214	  6387	  8551	  7228	  8551	   03:25
   5	-0.006	-0.022	-0.006	 0.024	-0.006	 0.012	-0.004	-0.018	 0.087	 0.084	 0.094	 0.075	 0.043	 0.040	 0.046	 0.049	  6354	  6913	  7765	  7379	  7765	   03:05
   6	-0.002	-0.017	-0.037	 0.017	-0.003	 0.001	 0.000	-0.002	 0.074	 0.082	 0.087	 0.070	 0.044	 0.043	 0.036	 0.046	  6473	  6568	  8371	  7025	  8371	   03:05
   7	 0.012	 0.007	 0.011	 0.032	-0.013	-0.017	-0.002	-0.023	 0.082	 0.070	 0.086	 0.078	 0.040	 0.049	 0.041	 0.048	  6285	  6803	  7906	  7403	  7906	   03:11
   8	-0.001	-0.005	-0.005	-0.016	 0.008	-0.027	 0.007	-0.000	 0.076	 0.084	 0.073	 0.097	 0.045	 0.044	 0.048	 0.045	  6540	  6153	  8132	  7514	  8132	   02:59
   9	-0.010	 0.008	-0.006	 0.013	 0.036	-0.013	-0.015	 0.004	 0.065	 0.088	 0.080	 0.092	 0.042	 0.053	 0.046	 0.044	  7427	  5569	  8285	  7097	  8285	   03:06
  10	 0.018	-0.029	-0.009	 0.038	 0.023	 0.006	-0.002	-0.027	 0.066	 0.069	 0.071	 0.066	 0.047	 0.046	 0.041	 0.042	  5707	  7348	  8533	  6775	  8533	   03:08
  11	 0.007	 0.027	 0.006	-0.029	 0.018	-0.009	-0.024	-0.008	 0.069	 0.086	 0.070	 0.096	 0.041	 0.040	 0.044	 0.046	  7199	  5436	  7787	  8034	  8034	   05:08
  12	 0.006	-0.024	 0.022	-0.020	 0.010	-0.008	-0.007	-0.011	 0.084	 0.087	 0.090	 0.071	 0.037	 0.045	 0.049	 0.049	  6133	  6770	  6533	  8881	  8881	   04:10
  13	-0.034	-0.018	 0.004	-0.049	-0.004	 0.007	 0.021	-0.016	 0.076	 0.083	 0.083	 0.081	 0.042	 0.043	 0.045	 0.046	  7152	  5792	  6589	  8745	  8745	   02:59
  14	 0.026	 0.017	 0.005	-0.022	-0.003	-0.010	-0.009	-0.025	 0.087	 0.093	 0.064	 0.086	 0.049	 0.042	 0.043	 0.050	  6148	  6005	  8050	  8048	  8050	   03:17
