 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	-0.022	-0.003	 0.012	-0.014	-0.017	 0.000	-0.011	 0.005	 0.083	 0.092	 0.084	 0.086	 0.048	 0.044	 0.046	 0.042	  7310	  5856	  7107	  8096	  8096	   03:36
   2	 0.001	-0.032	 0.008	-0.029	-0.009	 0.010	-0.004	-0.028	 0.075	 0.089	 0.065	 0.100	 0.049	 0.046	 0.049	 0.051	  6217	  6675	  7747	  7522	  7747	   03:38
   3	-0.004	-0.030	 0.020	-0.044	 0.048	 0.005	 0.007	-0.019	 0.065	 0.068	 0.064	 0.085	 0.050	 0.044	 0.044	 0.047	  6103	  6659	  7058	  8480	  8480	   03:40
   4	-0.005	 0.009	 0.032	 0.000	-0.018	-0.004	 0.024	 0.006	 0.078	 0.076	 0.079	 0.096	 0.042	 0.044	 0.040	 0.043	  7107	  6301	  7279	  7850	  7850	   03:34
   5	-0.012	 0.019	 0.008	 0.003	-0.022	-0.026	-0.008	-0.019	 0.082	 0.081	 0.072	 0.077	 0.043	 0.056	 0.046	 0.049	  7050	  5639	  7731	  7754	  7754	   03:32
   6	-0.009	 0.009	-0.026	-0.013	 0.003	 0.003	-0.027	-0.008	 0.079	 0.086	 0.088	 0.084	 0.042	 0.047	 0.043	 0.047	  7009	  5825	  7903	  7605	  7903	   03:22
   7	-0.005	-0.003	 0.010	 0.011	-0.006	-0.015	-0.008	-0.005	 0.088	 0.078	 0.080	 0.088	 0.051	 0.043	 0.043	 0.044	  6455	  6601	  7855	  7443	  7855	   03:26
   8	-0.008	-0.014	 0.011	 0.006	-0.016	 0.013	-0.001	 0.019	 0.077	 0.066	 0.070	 0.078	 0.044	 0.042	 0.038	 0.039	  6587	  7036	  7572	  7376	  7572	   03:08
   9	 0.021	-0.037	-0.006	 0.025	 0.003	-0.005	 0.036	-0.001	 0.082	 0.081	 0.069	 0.081	 0.048	 0.037	 0.047	 0.054	  5330	  7433	  8715	  6796	  8715	   03:34
  10	-0.013	 0.003	 0.005	-0.002	-0.002	-0.013	-0.011	 0.009	 0.077	 0.085	 0.079	 0.065	 0.049	 0.047	 0.040	 0.040	  7093	  5845	  7243	  8219	  8219	   03:26
  11	 0.014	 0.033	-0.003	-0.013	 0.023	 0.020	-0.009	 0.027	 0.079	 0.085	 0.065	 0.081	 0.047	 0.048	 0.047	 0.045	  6902	  5694	  7994	  7694	  7994	   03:56
  12	 0.017	-0.010	-0.006	 0.028	-0.026	-0.017	-0.017	-0.021	 0.068	 0.075	 0.087	 0.082	 0.050	 0.048	 0.043	 0.047	  6321	  6860	  8126	  6974	  8126	   03:50
  13	 0.022	 0.017	-0.012	-0.015	 0.008	-0.008	 0.013	 0.001	 0.079	 0.078	 0.087	 0.083	 0.037	 0.050	 0.040	 0.043	  6300	  6309	  7775	  8068	  8068	   03:38
  14	 0.046	-0.001	 0.015	 0.014	-0.005	-0.025	 0.036	-0.005	 0.080	 0.069	 0.111	 0.083	 0.043	 0.042	 0.043	 0.042	  5484	  7416	  7227	  8367	  8367	   03:48
  15	 0.008	 0.021	 0.007	 0.010	 0.009	 0.011	 0.004	-0.038	 0.092	 0.084	 0.072	 0.063	 0.045	 0.043	 0.038	 0.046	  6376	  6026	  7850	  8160	  8160	   03:48
  16	-0.002	 0.031	 0.003	 0.007	 0.024	 0.022	 0.023	 0.023	 0.097	 0.071	 0.078	 0.087	 0.047	 0.044	 0.043	 0.055	  6593	  6263	  7962	  7409	  7962	   03:57
  17	-0.024	-0.027	 0.004	 0.015	 0.006	 0.005	-0.015	 0.010	 0.085	 0.092	 0.074	 0.075	 0.040	 0.047	 0.051	 0.042	  6860	  6480	  7766	  7291	  7766	   03:56
  18	-0.012	-0.003	-0.005	-0.013	 0.000	-0.001	 0.021	-0.017	 0.098	 0.075	 0.105	 0.088	 0.042	 0.046	 0.043	 0.044	  6296	  6656	  7214	  8234	  8234	   04:04
