 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.000	-0.003	 0.013	-0.008	 0.012	-0.005	-0.001	-0.008	 0.063	 0.093	 0.088	 0.093	 0.045	 0.047	 0.046	 0.052	  7253	  5772	  7286	  7929	  7929	   03:44
   2	-0.015	 0.008	-0.020	-0.007	 0.013	 0.016	 0.012	-0.015	 0.078	 0.067	 0.072	 0.085	 0.049	 0.046	 0.045	 0.044	  6662	  6126	  8274	  7198	  8274	   03:32
   3	-0.007	-0.009	-0.006	-0.025	-0.023	-0.018	-0.021	 0.011	 0.075	 0.070	 0.076	 0.082	 0.045	 0.048	 0.043	 0.048	  6545	  6557	  7395	  7860	  7860	   03:34
   4	 0.001	-0.028	-0.008	 0.004	 0.025	-0.021	-0.005	-0.004	 0.101	 0.091	 0.083	 0.062	 0.044	 0.048	 0.048	 0.051	  5633	  6893	  7678	  8030	  8030	   03:34
   5	 0.010	-0.008	 0.011	-0.025	-0.004	 0.007	 0.019	-0.002	 0.072	 0.070	 0.089	 0.081	 0.044	 0.046	 0.048	 0.034	  6326	  6728	  6814	  8524	  8524	   03:34
   6	-0.009	-0.004	 0.013	 0.018	-0.022	-0.013	 0.017	 0.010	 0.081	 0.081	 0.083	 0.081	 0.049	 0.048	 0.049	 0.038	  6887	  6359	  7577	  7541	  7577	   03:10
   7	-0.010	-0.020	-0.021	-0.005	-0.014	-0.005	 0.003	-0.005	 0.079	 0.084	 0.085	 0.072	 0.048	 0.049	 0.041	 0.048	  6496	  6414	  7705	  7649	  7705	   03:28
   8	-0.024	-0.004	 0.025	 0.003	 0.019	-0.007	 0.022	-0.022	 0.082	 0.095	 0.091	 0.077	 0.047	 0.037	 0.040	 0.038	  7298	  5654	  6998	  8581	  8581	   03:40
   9	-0.034	-0.011	 0.000	-0.005	 0.011	-0.013	-0.004	-0.023	 0.091	 0.080	 0.082	 0.084	 0.042	 0.041	 0.041	 0.042	  6806	  6190	  7680	  7788	  7788	   03:24
  10	-0.008	-0.002	-0.035	 0.021	 0.014	 0.025	 0.006	 0.013	 0.076	 0.070	 0.099	 0.071	 0.047	 0.039	 0.047	 0.044	  6696	  6571	  8016	  7096	  8016	   03:28
