 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	-0.002	 0.027	-0.002	 0.012	-0.011	 0.026	 0.016	-0.011	 0.095	 0.080	 0.088	 0.085	 0.046	 0.048	 0.051	 0.050	  6759	  6065	  7864	  7470	  7864	   03:01
   2	 0.002	-0.021	 0.030	-0.004	-0.035	-0.042	-0.006	-0.004	 0.073	 0.058	 0.088	 0.090	 0.054	 0.043	 0.047	 0.035	  6172	  7261	  6925	  8122	  8122	   03:11
   3	-0.016	-0.015	 0.005	 0.003	 0.028	-0.002	-0.009	 0.013	 0.080	 0.086	 0.089	 0.065	 0.048	 0.054	 0.040	 0.048	  6838	  6255	  7033	  8163	  8163	   03:13
   4	-0.003	 0.010	-0.007	-0.018	-0.009	 0.009	-0.001	 0.025	 0.068	 0.084	 0.072	 0.074	 0.048	 0.053	 0.038	 0.048	  7221	  5741	  7444	  7868	  7868	   02:59
   5	-0.015	 0.008	-0.008	 0.019	-0.021	 0.013	 0.027	-0.018	 0.083	 0.085	 0.070	 0.083	 0.042	 0.046	 0.044	 0.053	  7047	  5872	  8497	  6875	  8497	   03:03
   6	 0.032	-0.032	 0.019	 0.009	-0.010	-0.023	-0.017	-0.007	 0.059	 0.082	 0.083	 0.068	 0.042	 0.043	 0.044	 0.058	  5998	  7133	  7127	  8048	  8048	   03:09
   7	 0.013	 0.023	 0.020	-0.027	-0.005	-0.008	-0.000	 0.008	 0.073	 0.070	 0.087	 0.063	 0.041	 0.041	 0.042	 0.040	  6766	  6073	  6368	  9282	  9282	   02:59
   8	-0.009	 0.009	-0.012	-0.000	 0.002	-0.007	 0.005	 0.016	 0.085	 0.080	 0.068	 0.081	 0.038	 0.048	 0.041	 0.042	  6746	  6122	  8298	  7296	  8298	   03:03
   9	 0.004	 0.033	-0.010	-0.001	-0.010	 0.008	 0.002	-0.025	 0.070	 0.077	 0.082	 0.073	 0.046	 0.051	 0.040	 0.048	  7134	  5477	  7753	  7873	  7873	   03:04
  10	-0.008	-0.000	-0.026	 0.036	-0.007	-0.003	-0.003	 0.001	 0.084	 0.093	 0.087	 0.084	 0.043	 0.052	 0.038	 0.043	  6959	  6171	  8731	  6530	  8731	   03:09
  11	 0.037	-0.008	 0.002	-0.006	-0.009	 0.007	-0.024	-0.005	 0.078	 0.098	 0.090	 0.095	 0.048	 0.045	 0.045	 0.047	  6128	  6772	  7696	  7686	  7696	   03:10
  12	 0.006	-0.007	-0.010	-0.033	-0.008	 0.021	-0.015	-0.005	 0.077	 0.088	 0.094	 0.084	 0.047	 0.040	 0.044	 0.038	  6609	  6328	  7092	  8389	  8389	   03:10
  13	 0.031	-0.002	-0.009	 0.006	-0.016	-0.004	-0.004	 0.007	 0.075	 0.090	 0.074	 0.067	 0.044	 0.050	 0.042	 0.042	  6146	  6539	  7988	  7672	  7988	   03:14
  14	-0.007	-0.014	-0.036	 0.003	 0.025	-0.002	 0.011	-0.015	 0.090	 0.070	 0.080	 0.071	 0.050	 0.050	 0.044	 0.048	  5752	  6759	  8435	  7226	  8435	   03:14
  15	-0.006	-0.014	 0.029	-0.022	 0.017	-0.027	-0.002	-0.007	 0.102	 0.066	 0.079	 0.075	 0.046	 0.045	 0.045	 0.043	  5625	  7133	  6791	  8801	  8801	   03:07
  16	-0.005	-0.006	-0.017	 0.046	 0.003	-0.003	-0.008	-0.021	 0.078	 0.089	 0.085	 0.079	 0.043	 0.046	 0.044	 0.046	  6805	  6311	  8696	  6536	  8696	   03:01
  17	-0.014	 0.020	-0.004	 0.009	 0.011	-0.007	 0.006	-0.029	 0.063	 0.079	 0.086	 0.072	 0.035	 0.049	 0.038	 0.040	  7570	  5316	  7671	  7919	  7919	   02:57
