 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
  64	-0.029	-0.028	-0.042	 0.019	-0.024	-0.052	-0.022	-0.027	 0.129	 0.113	 0.129	 0.132	 0.040	 0.046	 0.042	 0.048	  6260	  6798	  8938	  6471	  8938	   02:41
  65	-0.010	-0.004	-0.039	 0.017	-0.004	-0.068	 0.019	-0.041	 0.122	 0.130	 0.134	 0.120	 0.044	 0.044	 0.043	 0.037	  6484	  5848	  8856	  7316	  8856	   02:34
  66	 0.027	-0.039	 0.015	 0.063	-0.007	 0.011	-0.021	-0.002	 0.096	 0.124	 0.134	 0.140	 0.050	 0.048	 0.044	 0.044	  6334	  7610	  8335	  6189	  8335	   02:35
  67	 0.040	-0.045	-0.063	-0.000	 0.026	-0.005	-0.099	-0.074	 0.123	 0.120	 0.126	 0.125	 0.045	 0.046	 0.047	 0.050	  4873	  7949	  9189	  6412	  9189	   03:23
  68	-0.058	-0.014	 0.084	-0.016	-0.033	-0.059	-0.047	-0.014	 0.124	 0.138	 0.128	 0.129	 0.038	 0.045	 0.042	 0.046	  8259	  5493	  5547	  9342	  9342	   02:34
  69	 0.032	-0.013	 0.031	 0.075	 0.044	-0.012	 0.036	-0.034	 0.148	 0.129	 0.137	 0.140	 0.052	 0.046	 0.051	 0.044	  5205	  7601	  8680	  6754	  8680	   02:36
  70	-0.041	-0.027	 0.015	 0.060	-0.007	-0.082	 0.007	-0.011	 0.132	 0.136	 0.157	 0.143	 0.045	 0.043	 0.037	 0.040	  7234	  6354	  7982	  7120	  7982	   02:45
  71	-0.005	-0.003	-0.015	 0.043	-0.004	 0.014	-0.006	-0.012	 0.137	 0.142	 0.128	 0.141	 0.046	 0.044	 0.049	 0.047	  6702	  6415	  8978	  6249	  8978	   02:34
  72	 0.020	-0.012	-0.058	 0.033	 0.044	 0.004	-0.034	-0.030	 0.139	 0.133	 0.126	 0.125	 0.042	 0.042	 0.052	 0.039	  5575	  6945	  9761	  6182	  9761	   02:43
  73	 0.011	-0.044	 0.044	 0.027	-0.024	 0.040	 0.017	-0.025	 0.112	 0.132	 0.117	 0.137	 0.049	 0.047	 0.044	 0.050	  6372	  7380	  7463	  7178	  7463	   02:35
  74	 0.007	-0.009	-0.034	 0.013	-0.017	 0.002	 0.002	 0.056	 0.130	 0.115	 0.138	 0.115	 0.041	 0.040	 0.053	 0.045	  6118	  7110	  8018	  7274	  8018	   02:33
  75	 0.018	-0.005	 0.006	-0.055	-0.015	 0.052	-0.049	 0.059	 0.153	 0.124	 0.116	 0.146	 0.043	 0.050	 0.038	 0.052	  5747	  7531	  7114	  7978	  7978	   02:35
  76	-0.024	-0.014	 0.033	-0.061	-0.057	 0.044	 0.012	-0.023	 0.127	 0.136	 0.130	 0.121	 0.046	 0.050	 0.046	 0.049	  7277	  6007	  5513	  9476	  9476	   02:41
  77	-0.045	 0.047	 0.020	 0.032	-0.043	 0.009	 0.015	 0.057	 0.123	 0.116	 0.126	 0.111	 0.050	 0.039	 0.043	 0.046	  8718	  5058	  7120	  7714	  8718	   02:45
  78	-0.016	 0.019	-0.014	 0.000	-0.023	 0.013	 0.023	 0.014	 0.146	 0.133	 0.123	 0.135	 0.046	 0.048	 0.039	 0.054	  6905	  5927	  8223	  7256	  8223	   02:37
  79	-0.010	 0.032	 0.003	-0.033	 0.027	-0.043	-0.043	 0.022	 0.121	 0.135	 0.127	 0.127	 0.050	 0.044	 0.044	 0.046	  7487	  5118	  7197	  8658	  8658	   02:35
  80	-0.048	 0.001	 0.007	-0.022	 0.068	 0.015	 0.004	 0.032	 0.148	 0.134	 0.130	 0.110	 0.036	 0.044	 0.041	 0.037	  7282	  5647	  6867	  8869	  8869	   02:40
  81	 0.026	-0.010	-0.004	 0.003	-0.026	-0.036	-0.014	-0.006	 0.127	 0.161	 0.128	 0.152	 0.047	 0.038	 0.041	 0.049	  6458	  6281	  8489	  7228	  8489	   02:24
  82	-0.015	-0.060	 0.014	 0.005	-0.036	-0.002	-0.020	-0.047	 0.144	 0.124	 0.129	 0.118	 0.044	 0.046	 0.050	 0.045	  5495	  7703	  7292	  7869	  7869	   03:23
  83	-0.055	-0.002	 0.001	-0.015	-0.005	-0.061	 0.045	 0.034	 0.134	 0.128	 0.116	 0.124	 0.044	 0.038	 0.047	 0.044	  7389	  5492	  7620	  8122	  8122	   02:59
  84	 0.065	-0.004	-0.006	-0.001	-0.003	-0.051	-0.019	-0.026	 0.125	 0.132	 0.137	 0.127	 0.045	 0.045	 0.042	 0.043	  5089	  7184	  8050	  8111	  8111	   02:38
  85	-0.011	-0.024	-0.043	-0.009	 0.033	-0.018	 0.072	 0.038	 0.131	 0.120	 0.144	 0.136	 0.057	 0.044	 0.053	 0.044	  5089	  7184	  8050	  8111	  8111	   08:10
  86	-0.002	-0.024	-0.038	-0.051	-0.009	-0.028	-0.017	-0.016	 0.146	 0.131	 0.110	 0.151	 0.043	 0.045	 0.048	 0.048	  5089	  7184	  8050	  8111	  8111	   08:06
  87	 0.004	 0.056	 0.002	-0.005	 0.012	-0.009	-0.011	-0.004	 0.131	 0.129	 0.120	 0.127	 0.044	 0.047	 0.040	 0.045	  5089	  7184	  8050	  8111	  8111	   08:18
  88	 0.028	 0.010	 0.068	-0.010	 0.003	-0.023	 0.018	 0.022	 0.139	 0.117	 0.133	 0.131	 0.049	 0.042	 0.055	 0.042	  5898	  7047	  6201	  9208	  9208	   04:19
  89	-0.026	 0.012	-0.018	-0.003	 0.037	-0.035	 0.024	 0.026	 0.115	 0.143	 0.131	 0.112	 0.052	 0.042	 0.047	 0.040	  7628	  4920	  7698	  8159	  8159	   05:30
  90	-0.051	 0.023	-0.049	 0.005	 0.015	 0.031	-0.028	 0.037	 0.136	 0.130	 0.113	 0.126	 0.037	 0.048	 0.049	 0.043	  7837	  5244	  8905	  6480	  8905	   02:49
  91	 0.026	 0.028	-0.023	-0.021	-0.016	-0.055	-0.081	 0.039	 0.128	 0.120	 0.137	 0.121	 0.042	 0.045	 0.047	 0.045	  6367	  6479	  7597	  8221	  8221	   02:55
  92	-0.037	 0.002	-0.069	-0.026	-0.002	 0.048	-0.037	 0.047	 0.117	 0.132	 0.129	 0.136	 0.049	 0.038	 0.054	 0.049	  7685	  5467	  8469	  6679	  8469	   02:54
  93	-0.012	-0.054	 0.029	-0.013	 0.008	-0.000	 0.015	 0.039	 0.123	 0.122	 0.118	 0.115	 0.042	 0.047	 0.043	 0.043	  6142	  7404	  6636	  8346	  8346	   02:50
  94	-0.012	 0.012	 0.018	-0.009	-0.064	 0.022	 0.019	-0.009	 0.116	 0.131	 0.143	 0.132	 0.049	 0.050	 0.048	 0.042	  7770	  5748	  6638	  8244	  8244	   03:00
  95	 0.009	 0.028	-0.046	 0.067	-0.045	-0.017	-0.009	 0.017	 0.138	 0.148	 0.135	 0.125	 0.039	 0.046	 0.045	 0.043	  7049	  5886	  9651	  5927	  9651	   03:06
  96	 0.101	-0.009	 0.053	 0.005	-0.049	 0.024	-0.002	 0.002	 0.114	 0.147	 0.132	 0.139	 0.042	 0.048	 0.046	 0.041	  5386	  7719	  6988	  8363	  8363	   04:56
  97	-0.020	-0.004	-0.022	 0.002	 0.042	 0.051	-0.011	-0.048	 0.136	 0.127	 0.124	 0.130	 0.039	 0.044	 0.042	 0.043	  6580	  6353	  8388	  7221	  8388	   02:34
  98	 0.034	 0.034	-0.006	-0.044	 0.007	-0.013	 0.026	-0.001	 0.133	 0.118	 0.140	 0.133	 0.045	 0.045	 0.044	 0.047	  5980	  6289	  7196	  8885	  8885	   02:48
  99	-0.073	-0.011	 0.010	 0.040	 0.015	-0.027	 0.011	-0.007	 0.119	 0.150	 0.119	 0.132	 0.040	 0.042	 0.046	 0.041	  8563	  4810	  8277	  6909	  8563	   02:39
 100	 0.043	-0.016	 0.029	-0.005	-0.001	-0.033	-0.048	 0.021	 0.119	 0.127	 0.136	 0.147	 0.044	 0.048	 0.052	 0.042	  5754	  7401	  7306	  8005	  8005	   03:22
 101	-0.001	 0.001	-0.033	 0.016	-0.018	-0.005	-0.018	 0.015	 0.137	 0.115	 0.145	 0.119	 0.046	 0.046	 0.051	 0.046	  6179	  6824	  8050	  7278	  8050	   02:39
 102	 0.053	-0.035	-0.010	-0.009	 0.059	 0.008	-0.005	-0.013	 0.140	 0.125	 0.138	 0.138	 0.045	 0.046	 0.047	 0.050	  4485	  8072	  8028	  7725	  8072	   02:39
 103	 0.031	-0.010	-0.039	-0.020	 0.041	-0.004	-0.018	 0.013	 0.122	 0.140	 0.125	 0.131	 0.047	 0.047	 0.041	 0.038	  5926	  6540	  8523	  7499	  8523	   02:48
 104	 0.041	 0.037	-0.010	-0.018	-0.019	 0.034	 0.008	-0.015	 0.143	 0.122	 0.156	 0.144	 0.040	 0.044	 0.044	 0.051	  5990	  6738	  7452	  8187	  8187	   02:41
 105	 0.006	-0.056	 0.024	-0.014	 0.014	 0.013	 0.031	 0.043	 0.138	 0.131	 0.136	 0.126	 0.044	 0.042	 0.040	 0.043	  5598	  7820	  6682	  8448	  8448	   02:44
 106	 0.045	 0.022	 0.046	-0.070	-0.076	 0.001	-0.059	-0.052	 0.124	 0.141	 0.127	 0.106	 0.044	 0.048	 0.042	 0.045	  6420	  6054	  5291	 10566	 10566	   03:16
 107	-0.016	-0.050	-0.002	-0.018	 0.038	-0.064	 0.049	-0.025	 0.122	 0.117	 0.125	 0.145	 0.047	 0.041	 0.044	 0.052	  5632	  6953	  8037	  7740	  8037	   02:41
 108	-0.066	 0.005	-0.007	 0.052	-0.014	-0.026	-0.005	 0.006	 0.140	 0.142	 0.133	 0.129	 0.044	 0.047	 0.040	 0.041	  8155	  5278	  8445	  6674	  8445	   02:31
 109	-0.008	 0.037	 0.030	-0.024	-0.020	-0.032	-0.037	-0.001	 0.139	 0.124	 0.125	 0.116	 0.041	 0.043	 0.050	 0.051	  7044	  5622	  6615	  9087	  9087	   02:38
 110	 0.008	-0.003	 0.036	 0.056	 0.039	 0.022	 0.001	-0.036	 0.128	 0.130	 0.132	 0.144	 0.039	 0.046	 0.042	 0.047	  6564	  6894	  8187	  6846	  8187	   02:29
 111	 0.023	 0.033	 0.004	 0.017	 0.030	-0.025	-0.003	-0.017	 0.133	 0.119	 0.124	 0.150	 0.045	 0.042	 0.046	 0.044	  6260	  6348	  8712	  7104	  8712	   02:27
