 IND	    DX_1	    DX_2	    DX_3	    DX_4	    DY_1	    DY_2	    DY_3	    DY_4	    JEU1	    JEU2	    JEU3	    JEU4	    INT1	    INT2	    INT3	    INT4	      F1	      F2	      F3	      F4	     FIT	      TIME
   1	  -0.013	   0.001	   0.035	   0.015	   0.008	   0.002	   0.012	  -0.001	   0.134	   0.137	   0.131	   0.152	   0.044	   0.046	   0.042	   0.044	    7080	    6260	    7571	    7531	    7571	     02:52
   2	  -0.032	  -0.049	  -0.028	   0.015	   0.019	  -0.008	  -0.018	   0.029	   0.149	   0.117	   0.132	   0.118	   0.045	   0.044	   0.045	   0.046	    5772	    7580	    8126	    7017	    8126	     03:00
   3	   0.016	  -0.006	   0.077	  -0.028	  -0.011	  -0.049	   0.008	  -0.013	   0.143	   0.137	   0.134	   0.126	   0.046	   0.053	   0.042	   0.048	    6100	    6700	    5602	    9901	    9901	     03:08
   4	  -0.001	  -0.020	  -0.011	   0.017	   0.046	   0.078	  -0.022	   0.029	   0.139	   0.132	   0.129	   0.130	   0.045	   0.041	   0.047	   0.046	    6257	    7253	    8123	    6856	    8123	     03:00
   5	  -0.024	  -0.025	  -0.045	  -0.001	  -0.032	  -0.001	  -0.004	  -0.011	   0.140	   0.122	   0.145	   0.126	   0.043	   0.042	   0.041	   0.046	    6273	    6838	    8148	    7209	    8148	     02:50
   6	   0.104	  -0.003	  -0.051	  -0.001	  -0.019	   0.025	  -0.003	   0.019	   0.128	   0.144	   0.124	   0.138	   0.056	   0.036	   0.048	   0.046	    4399	    7646	    9462	    6747	    9462	     03:21
   7	   0.006	   0.005	  -0.056	  -0.029	   0.031	   0.036	   0.039	  -0.067	   0.139	   0.124	   0.142	   0.124	   0.043	   0.050	   0.040	   0.047	    5715	    6260	    8317	    8089	    8317	     03:11
   8	  -0.032	  -0.047	   0.026	  -0.032	   0.008	   0.007	   0.011	   0.012	   0.142	   0.137	   0.117	   0.135	   0.048	   0.044	   0.051	   0.051	    6349	    6786	    6831	    8264	    8264	     03:03
   9	   0.060	  -0.041	  -0.005	  -0.026	  -0.050	   0.023	   0.038	  -0.005	   0.130	   0.119	   0.124	   0.137	   0.048	   0.038	   0.042	   0.043	    4548	    8247	    7875	    7825	    8247	     02:56
  10	   0.022	  -0.057	   0.073	   0.089	  -0.003	  -0.034	  -0.020	   0.043	   0.122	   0.142	   0.141	   0.114	   0.044	   0.046	   0.046	   0.038	    6163	    7975	    7062	    7607	    7975	     03:15
  11	  -0.004	  -0.003	   0.023	  -0.045	  -0.051	   0.084	  -0.017	  -0.039	   0.143	   0.125	   0.145	   0.130	   0.040	   0.045	   0.041	   0.051	    6565	    7023	    5939	    9066	    9066	     03:06
  12	   0.002	  -0.055	  -0.036	   0.018	   0.009	   0.030	  -0.024	  -0.038	   0.138	   0.115	   0.123	   0.127	   0.044	   0.045	   0.040	   0.043	    5052	    8188	    8883	    6353	    8883	     02:59
  13	   0.002	   0.042	   0.006	   0.054	  -0.015	  -0.011	   0.023	  -0.006	   0.129	   0.120	   0.122	   0.127	   0.057	   0.051	   0.041	   0.039	    7068	    5783	    8678	    6794	    8678	     03:35
