 IND	  DX_1	  DX_2	  DX_3	  DX_4	  DY_1	  DY_2	  DY_3	  DY_4	  JEU1	  JEU2	  JEU3	  JEU4	  INT1	  INT2	  INT3	  INT4	    F1	    F2	    F3	    F4	   FIT	    TIME
   1	 0.011	-0.019	 0.006	-0.016	 0.001	 0.005	-0.008	 0.013	 0.063	 0.082	 0.053	 0.080	 0.042	 0.049	 0.052	 0.040	  6437	  6538	  7879	  7473	  7879	   03:40
   2	 0.031	-0.010	 0.011	 0.010	 0.017	 0.037	-0.016	 0.001	 0.059	 0.081	 0.084	 0.068	 0.034	 0.046	 0.048	 0.038	  6482	  6866	  7278	  7925	  7925	   04:11
   3	-0.014	-0.006	 0.004	 0.012	-0.022	 0.000	 0.002	 0.006	 0.072	 0.089	 0.065	 0.075	 0.055	 0.048	 0.041	 0.048	  7198	  5908	  7905	  7225	  7905	   04:42
   4	 0.025	-0.007	-0.008	-0.006	-0.007	 0.014	 0.003	 0.010	 0.090	 0.091	 0.101	 0.090	 0.050	 0.049	 0.045	 0.048	  5991	  6902	  7488	  7813	  7813	   04:23
   5	 0.004	 0.015	 0.013	 0.024	 0.003	 0.013	-0.004	-0.005	 0.091	 0.075	 0.083	 0.070	 0.048	 0.047	 0.041	 0.046	  6484	  6542	  7578	  7700	  7700	   04:06
   6	-0.011	 0.012	 0.001	-0.046	 0.018	-0.007	-0.002	 0.010	 0.078	 0.078	 0.092	 0.083	 0.051	 0.041	 0.045	 0.049	  6978	  5721	  6668	  8921	  8921	   03:12
   7	-0.017	 0.021	-0.023	-0.023	 0.003	-0.001	-0.016	-0.019	 0.091	 0.078	 0.083	 0.088	 0.051	 0.043	 0.047	 0.048	  6795	  5695	  7964	  7760	  7964	   03:35
   8	-0.008	 0.030	 0.012	 0.018	 0.004	-0.006	 0.020	-0.021	 0.088	 0.085	 0.090	 0.079	 0.045	 0.039	 0.047	 0.044	  7138	  5566	  7672	  8026	  8026	   04:26
   9	-0.009	 0.015	 0.020	 0.015	 0.002	 0.024	 0.018	-0.011	 0.079	 0.082	 0.080	 0.088	 0.043	 0.044	 0.049	 0.050	  7232	  5949	  7600	  7495	  7600	   04:48
  10	 0.007	-0.000	-0.015	-0.018	-0.025	 0.010	 0.004	-0.032	 0.080	 0.077	 0.077	 0.096	 0.042	 0.051	 0.042	 0.052	  6296	  6510	  8120	  7311	  8120	   04:16
  11	 0.012	-0.010	 0.016	-0.002	-0.011	-0.005	 0.030	 0.005	 0.079	 0.093	 0.070	 0.066	 0.043	 0.039	 0.051	 0.043	  6386	  6281	  7447	  8304	  8304	   03:55
  12	 0.039	 0.010	-0.031	 0.029	-0.010	-0.038	 0.028	 0.005	 0.069	 0.070	 0.083	 0.087	 0.043	 0.045	 0.040	 0.039	  5809	  6800	  9233	  6692	  9233	   04:17
  13	-0.039	 0.013	 0.006	-0.020	 0.009	-0.036	 0.049	-0.004	 0.075	 0.083	 0.087	 0.083	 0.040	 0.048	 0.050	 0.056	  7679	  4976	  7130	  8443	  8443	   04:27
